value,time
0,8
1,16
2,25
3,33
4,41
5,49
6,58
7,66
8,74
9,82
10,90
11,99
12,107
13,115
14,123
15,132
16,140
17,148
18,156
19,165
20,173
21,181
22,189
23,198
24,206
25,214
26,222
27,231
28,239
29,247
30,255
31,264
32,272
33,280
34,289
35,297
36,305
37,313
38,322
39,330
40,338
41,346
42,355
43,363
44,371
45,380
46,388
47,396
48,405
49,413
50,421
51,429
52,438
53,446
54,454
55,463
56,471
57,479
58,488
59,496
60,504
61,513
62,521
63,529
64,537
65,546
66,554
67,562
68,571
69,579
70,587
71,596
72,604
73,612
74,621
75,629
76,638
77,646
78,654
79,663
80,671
81,679
82,688
83,696
84,704
85,713
86,721
87,729
88,738
89,746
90,755
91,763
92,771
93,780
94,788
95,796
96,805
97,813
98,822
99,830
100,838
101,847
102,855
103,863
104,872
105,880
106,888
107,897
108,905
109,914
110,922
111,930
112,939
113,947
114,955
115,963
116,972
117,980
118,988
119,997
120,1005
121,1013
122,1022
123,1030
124,1038
125,1047
126,1055
127,1063
