value,time
0,7
1,15
2,23
3,31
4,39
5,46
6,54
7,62
8,70
9,77
10,85
11,93
12,101
13,108
14,116
15,124
16,132
17,139
18,147
19,155
20,163
21,170
22,178
23,186
24,194
25,202
26,209
27,217
28,225
29,233
30,240
31,248
32,256
33,264
34,272
35,279
36,287
37,295
38,303
39,311
40,318
41,326
42,334
43,342
44,350
45,357
46,365
47,373
48,381
49,389
50,396
51,404
52,412
53,420
54,428
55,436
56,443
57,451
58,459
59,467
60,475
61,483
62,490
63,498
64,506
65,514
66,522
67,530
68,538
69,545
70,553
71,561
72,569
73,577
74,585
75,592
76,600
77,608
78,616
79,624
80,632
81,640
82,647
83,655
84,663
85,671
86,679
87,687
88,695
89,703
90,710
91,718
92,726
93,734
94,742
95,750
96,758
97,766
98,773
99,781
100,789
101,797
102,805
103,813
104,821
105,829
106,836
107,844
108,852
109,860
110,868
111,876
112,884
113,891
114,899
115,907
116,915
117,923
118,930
119,938
120,946
121,954
122,962
123,970
124,977
125,985
126,993
127,1001
128,1009
129,1017
130,1025
131,1032
132,1040
133,1048
134,1056
135,1064
136,1072
137,1079
138,1087
139,1095
140,1103
141,1111
142,1119
143,1127
144,1135
145,1142
146,1150
147,1158
148,1166
149,1174
150,1182
151,1190
152,1198
153,1205
154,1213
155,1221
156,1229
157,1237
158,1245
159,1253
160,1261
161,1269
162,1276
163,1284
164,1292
165,1300
166,1308
167,1316
168,1324
169,1332
170,1340
171,1348
172,1356
173,1363
174,1371
175,1379
176,1387
177,1395
178,1403
179,1411
180,1419
181,1427
182,1435
183,1443
184,1451
185,1458
186,1466
187,1474
188,1482
189,1490
190,1498
191,1506
192,1514
193,1522
194,1530
195,1538
196,1546
197,1554
198,1562
199,1570
200,1578
201,1586
202,1594
203,1601
204,1609
205,1617
206,1625
207,1633
208,1641
209,1649
210,1657
211,1665
212,1673
213,1681
214,1689
215,1697
216,1705
217,1713
218,1721
219,1729
220,1737
221,1745
222,1753
223,1761
224,1769
225,1777
226,1785
227,1793
228,1801
229,1809
230,1817
231,1825
232,1833
233,1841
234,1849
235,1857
236,1865
237,1873
238,1881
239,1889
240,1897
241,1905
242,1913
243,1921
244,1929
245,1937
246,1944
247,1952
248,1960
249,1968
250,1976
251,1984
252,1992
253,2000
254,2008
255,2016
256,2024
257,2032
258,2040
259,2048
260,2056
261,2064
262,2072
263,2080
264,2088
265,2096
266,2104
267,2112
268,2120
269,2128
270,2136
271,2144
272,2152
273,2160
274,2168
275,2176
276,2184
277,2192
278,2200
279,2208
280,2216
281,2224
282,2232
283,2240
284,2248
285,2256
286,2264
287,2272
288,2280
289,2288
290,2297
291,2305
292,2313
293,2321
294,2329
295,2337
296,2345
297,2353
298,2361
299,2369
300,2377
301,2385
302,2393
303,2401
304,2409
305,2417
306,2425
307,2433
308,2441
309,2449
310,2457
311,2466
312,2474
313,2482
314,2490
315,2498
316,2506
317,2514
318,2522
319,2530
320,2538
321,2546
322,2554
323,2562
324,2571
325,2579
326,2587
327,2595
328,2603
329,2611
330,2619
331,2627
332,2635
333,2643
334,2651
335,2659
336,2668
337,2676
338,2684
339,2692
340,2700
341,2708
342,2716
343,2724
344,2732
345,2741
346,2749
347,2757
348,2765
349,2773
350,2781
351,2789
352,2797
353,2806
354,2814
355,2822
356,2830
357,2838
358,2846
359,2854
360,2862
361,2871
362,2879
363,2887
364,2895
365,2903
366,2911
367,2919
368,2927
369,2935
370,2943
371,2952
372,2960
373,2968
374,2976
375,2984
376,2992
377,3000
378,3008
379,3016
380,3025
381,3033
382,3041
383,3049
384,3057
385,3065
386,3073
387,3081
388,3089
389,3098
390,3106
391,3114
392,3122
393,3130
394,3138
395,3146
396,3155
397,3163
398,3171
399,3179
400,3187
401,3195
402,3203
403,3212
404,3220
405,3228
406,3236
407,3244
408,3252
409,3261
410,3269
411,3277
412,3285
413,3293
414,3301
415,3309
416,3318
417,3326
418,3334
419,3342
420,3350
421,3359
422,3367
423,3375
424,3383
425,3391
426,3399
427,3408
428,3416
429,3424
430,3432
431,3440
432,3449
433,3457
434,3465
435,3473
436,3481
437,3490
438,3498
439,3506
440,3514
441,3522
442,3531
443,3539
444,3547
445,3555
446,3563
447,3572
448,3580
449,3588
450,3596
451,3605
452,3613
453,3621
454,3629
455,3637
456,3646
457,3654
458,3662
459,3670
460,3679
461,3687
462,3695
463,3703
464,3711
465,3720
466,3728
467,3736
468,3744
469,3753
470,3761
471,3769
472,3777
473,3786
474,3794
475,3802
476,3810
477,3819
478,3827
479,3835
480,3844
481,3852
482,3860
483,3868
484,3877
485,3885
486,3893
487,3901
488,3910
489,3918
490,3926
491,3934
492,3943
493,3951
494,3959
495,3967
496,3976
497,3984
498,3992
499,4000
500,4009
501,4017
502,4025
503,4033
504,4042
505,4050
506,4058
507,4066
508,4075
509,4083
510,4091
511,4099
