Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,691
Base Time Seconds,1715368073
Base Time Fractional,.750470200
Base Time,05/10/2024 19:07:53.750470200
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
0.05279574170709,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000437531,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.736960820
0.08814232796431,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0009094701381,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.819671820
0.0893038213253,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.902363260
0.08921813964844,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:56,.985064620
0.08943106979132,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000489843,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.067776140
0.08958678692579,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000536343,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.150488860
0.08938920497894,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.233185020
0.0892730280757,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000402656,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.315884680
0.08944454789162,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000478218,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.398592680
0.08943936228752,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.481303540
0.08950102329254,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000617717,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.564010300
0.08955197036266,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.646719180
0.08946625888348,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.729426680
0.08916634321213,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000553780,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.812142640
0.08946490287781,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.894849780
0.08972465246916,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0003987485252,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:57,.977564120
0.09543173015118,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.060261880
0.08955366909504,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.142971580
0.08975463360548,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0003723251284,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.225674440
0.08955781906843,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.308383160
0.08952646702528,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000559593,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.391093660
0.08963400870562,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0003708175500,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.473802880
0.09475293010473,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000606092,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.556489580
0.08930544555187,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.639195840
0.08946867287159,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.721904200
0.09497609734535,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000460781,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.804613680
0.08953620493412,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547968,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.887321760
0.08966518938541,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000559593,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:58,.970048760
0.09408824145794,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507280,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.052754960
0.08958833664656,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.135464640
0.089664272964,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000536343,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.218176320
